,evr,mse,evcs,r2,optimal,steps
0,0.09433548038073819,0.05561245397139927,0.1512721547200718,0.002502469631836349,15,1
1,0.014918584236170854,0.04993612333240569,0.16619073895624265,0.02614429314381008,15,2
2,0.008376608703827162,0.04912311160206533,0.17456734766006982,0.028622161366429838,15,3
3,0.007828233942950182,0.04867749668938084,0.18239558160302,0.03108150363023633,15,4
4,0.004257959616276574,0.04828233810751494,0.18665354121929656,0.03295665751660627,15,5
5,0.004033561848205921,0.04809357371709884,0.19068710306750247,0.0341650473029676,15,6
6,0.0029463738844385545,0.04791520514475345,0.19363347695194102,0.03506399622188204,15,7
7,0.0022120192212367173,0.04779780790539497,0.19584549617317773,0.03566538067411598,15,8
8,0.002137039193364464,0.047744272280125274,0.1979825353665422,0.03593059724847081,15,9
9,0.0017308042848838856,0.04768562708396274,0.1997133396514261,0.03629419897716958,15,10
10,0.0016611123059433433,0.04765876081270054,0.20137445195736944,0.03646188120197207,15,11
11,0.0015885872444995673,0.04764199102022284,0.202963039201869,0.036600039142969706,15,12
12,0.0014813069603620607,0.04762263302126836,0.20444434616223106,0.03675587547944599,15,13
13,0.001443695118444163,0.04761550712907151,0.20588804128067523,0.036848000038325376,15,14
14,0.0012930057791502793,0.04760188324436669,0.2071810470598255,0.03696455580708593,15,15
15,0.0012246605495106855,0.047604763059881136,0.2084057076093362,0.03702198313094947,15,16
16,0.0011413731339634063,0.0476155129408849,0.20954708074329959,0.03703670256239878,15,17
17,0.001096497827708508,0.04763737265093403,0.2106435785710081,0.036993298617778156,15,18
18,0.0010804900527844512,0.047660747187569026,0.21172406862379256,0.03695735478872426,15,19
19,0.0010488276008862602,0.047691701822803675,0.21277289622467882,0.03689695049506765,15,20
20,0.0010442648722453105,0.04772915842923331,0.21381716109692414,0.03679661176383486,15,21
21,0.0010267932305979635,0.04776805874431309,0.2148439543275221,0.03669188672372349,15,22
22,0.0010185129879256645,0.04781427645626501,0.21586246731544775,0.03655438242943209,15,23
23,0.00100967247482387,0.04785771224827666,0.21687213979027162,0.03642871808484043,15,24
24,0.0010033617909872145,0.047903027868826276,0.21787550158125885,0.03629513186652143,15,25
25,0.0009955541762012609,0.0479501136485406,0.2188710557574601,0.036156353848876464,15,26
26,0.0009901949749758405,0.04799653553527164,0.21986125073243595,0.036025264623337494,15,27
27,0.000980099213130282,0.048044408282828514,0.22084134994556623,0.03588286628706033,15,28
28,0.0009732090018077848,0.04808993947431456,0.221814558947374,0.03575304161730802,15,29
29,0.0009662796911454856,0.048137723490220274,0.2227808386385195,0.035613309199292266,15,30
30,0.0009611440363926266,0.04818232464195907,0.22374198267491213,0.03548677664990082,15,31
31,0.0009589301167688921,0.048229857733708734,0.22470091279168103,0.03534168004517315,15,32
32,0.0009508650644120949,0.048278454946150455,0.2256517778560931,0.03519558179433995,15,33
33,0.0009490602010539329,0.04832649661395307,0.22660083805714704,0.03505355337883589,15,34
34,0.0009466893493639593,0.048375256055070384,0.227547527406511,0.034904540562869464,15,35
35,0.0009434818979040533,0.0484235445747441,0.22849100930441504,0.03476029918708161,15,36
36,0.0009364073407220322,0.048471993462469554,0.22942741664513708,0.03461674714996154,15,37
37,0.0009313473791845146,0.04852006217242055,0.2303587640243216,0.0344703838659434,15,38
38,0.0009247257598284744,0.04856487204564037,0.23128348978415006,0.03434099141315772,15,39
39,0.0009204485025872991,0.0486106086454748,0.23220393828673735,0.034198740365270895,15,40
40,0.0009181155698220224,0.04865736022001578,0.23312205385655937,0.03406047744457662,15,41
41,0.0009131243967424215,0.04870414452905159,0.2340351782533018,0.03391970032889259,15,42
42,0.0009101280534988566,0.04874894207414578,0.23494530630680066,0.03378719385620884,15,43
43,0.0009086169283016566,0.04879484368220192,0.23585392323510232,0.033645085277139865,15,44
44,0.0009061472785843723,0.04884050660578686,0.2367600705136867,0.03350908912058647,15,45
45,0.0009040286558116045,0.048884789570707,0.2376640991694983,0.03337939014668109,15,46
46,0.0008985845662333054,0.048929193810535954,0.2385626837357316,0.03324605948457326,15,47
47,0.00089337902528432,0.04897460163514528,0.23945606276101594,0.033106553212310985,15,48
48,0.000889167788076935,0.04902063740202278,0.24034523054909288,0.03296992461533699,15,49
49,0.0008837924678804951,0.049063973367092555,0.24122902301697338,0.032835716801924326,15,50
50,0.0008793242999823728,0.04910978791818246,0.24210834731695574,0.03269925135698265,15,51
51,0.0008761757436221697,0.04915420321595596,0.2429845230605779,0.03256435848355643,15,52
52,0.0008729254484002521,0.04919933325243615,0.24385744850897817,0.032430405343992205,15,53
53,0.0008707635889050807,0.04924481121891275,0.24472821209788326,0.032293978753436064,15,54
54,0.0008669689426338968,0.04929092362725609,0.24559518104051714,0.032157394475626794,15,55
55,0.0008628675276213643,0.04933582661115818,0.2464580485681385,0.0320246345079443,15,56
56,0.000857793005744173,0.04938038151105223,0.24731584157388267,0.03189079502968579,15,57
57,0.0008541667512523568,0.049422767043551884,0.24817000832513503,0.03176647323289538,15,58
58,0.0008510202932789157,0.04946542472315986,0.24902102861841394,0.031638360637947734,15,59
59,0.0008481333213799396,0.049510572363762495,0.2498691619397939,0.03150210349773225,15,60
60,0.0008452777121347392,0.04955383497931071,0.25071443965192863,0.031372620494566184,15,61
61,0.0008440436436680568,0.04959712632436575,0.2515584832955967,0.03124367663223517,15,62
62,0.0008385124202936934,0.04964014225995938,0.2523969957158904,0.031114509016688205,15,63
63,0.0008371134922666805,0.04968320526431732,0.2532341092081571,0.03098067958633353,15,64
64,0.0008325637092173243,0.04972620088362494,0.2540666729173744,0.03085365708416364,15,65
